ID,文字内容,X坐标,Y坐标,宽度,高度,置信度
1,BarTender Enterprise Automation,315,14,222,20,0.52
2,[18708封固底 btw *],545,13,138,20,0.77
4,Trapcode,137,39,74,18,1.00
6,Suite 2.,137,55,60,20,0.53
7,文件(F),288,46,56,24,0.63
8,编辑(),352,46,54,24,0.86
9,查看0,416,46,56,24,0.62
10,创建(C),482,46,58,24,0.98
11,排列(A),547,45,59,25,0.87
12,管理(0),617,47,54,20,0.93
15,帮助(H),819,47,56,20,0.86
17,[,873,77,18,30,0.99
18,A,964,80,32,28,0.63
19,黑体,293,125,34,20,0.86
24,nder_Template_Tools,0,203,137,16,0.95
27,site-packages (from to,0,286,224,26,0.62
31,s (from torch->easyocr,0,354,222,27,0.65
32,XISX,249,365,32,16,0.94
36,ges (from torch->easyo,0,424,224,26,0.79
41,torch->easyocr) (3.1,18,494,204,24,0.67
44,(from torch->easyocr,18,562,204,26,0.81
47,from torch->easyocr),0,631,202,26,0.76
50,371一,862,622,175,54,0.67
51,1.1.0 in,0,679,93,20,0.51
58,ges (from jinjaz->torc,0,770,222,26,0.68
59,5.0,>=2.33 in,0,816,134,24,0.57
60,C: lusers,138,816,84,24,0.59
63,e-packages (from sciki,0,838,222,26,0.70
64,月15,243,851,38,20,1.00
66,22.8.12 in,0,884,104,24,0.89
67,C:,109,891,22,16,0.93
70,1,717,863,38,46,0.99
71,0.7-0.1,864,860,173,52,0.94
72,ackages (from scikit-i,0,908,222,26,0.84
74,X,237,953,44,20,0.91
76,2026.01.04,713,933,176,44,0.79
78,s (from scikit-image->,0,976,222,27,0.50
79,作表,239,973,36,20,0.75
85,ages (from scikit-imag,0,1045,223,27,0.85
86,啡机2,237,1055,44,20,0.99
87,质展,241,1075,34,20,0.64
88,建文件夹 (4)|AI助手 |B,0,1090,224,28,0.57
90,请充分搅拌均,698,1088,338,80,0.92
91,ender_,0,1163,51,20,0.89
92,ocr_backend .py,58,1162,146,24,0.66
93,啡机2,237,1157,44,20,0.99
95,Note,37,1185,44,20,0.98
96,This module,96,1184,116,24,0.89
97,质展,241,1177,42,20,0.99
